FIPS,State,Area_Name,popChange,lat,lon
1000,AL,Alabama,"13,519",32.806671,-86.79113
2000,AK,Alaska,"5,790",61.370716,-152.404419
4000,AZ,Arizona,"74,983",33.729759,-111.431221
5000,AR,Arkansas,"7,978",34.969704,-92.373123
6000,CA,California,"324,129",36.116203,-119.681564
8000,CO,Colorado,"77,736",39.059811,-105.311104
9000,CT,Connecticut,"2,208",41.597782,-72.755371
10000,DE,Delaware,"8,402",39.318523,-75.507141
11000,DC,District of Columbia,"13,838",38.897438,-77.026817
12000,FL,Florida,"237,866",27.766279,-81.686783
13000,GA,Georgia,"70,270",33.040619,-83.643074
15000,HI,Hawaii,"14,661",21.094318,-157.498337
16000,ID,Idaho,"16,100",44.240459,-114.478828
17000,IL,Illinois,"8,707",40.349457,-88.986137
18000,IN,Indiana,"31,359",39.849426,-86.258278
19000,IA,Iowa,"15,620",42.011539,-93.210526
20000,KS,Kansas,"7,559",38.5266,-96.726486
21000,KY,Kentucky,"15,678",37.66814,-84.670067
22000,LA,Louisiana,"22,973",31.169546,-91.867805
23000,ME,Maine,181,44.693947,-69.381927
24000,MD,Maryland,"41,478",39.063946,-76.802101
25000,MA,Massachusetts,"48,778",42.230171,-71.530106
26000,MI,Michigan,"11,744",43.326618,-84.536095
27000,MN,Minnesota,"38,236",45.694454,-93.900192
28000,MS,Mississippi,"5,537",32.741646,-89.678696
29000,MO,Missouri,"17,296",38.456085,-92.288368
30000,MT,Montana,"9,118",46.921925,-110.454353
31000,NE,Nebraska,"12,834",41.12537,-98.268082
32000,NV,Nevada,"33,899",38.313515,-117.055374
33000,NH,New Hampshire,"1,505",43.452492,-71.563896
34000,NJ,New Jersey,"25,951",40.298904,-74.521011
35000,NM,New Mexico,"1,409",34.840515,-106.248482
36000,NY,New York,"70,777",42.165726,-74.948051
37000,NC,North Carolina,"95,415",35.630066,-79.806419
38000,ND,North Dakota,"21,932",47.528912,-99.784012
39000,OH,Ohio,"19,183",40.388783,-82.764915
40000,OK,Oklahoma,"35,361",35.565342,-96.928917
41000,OR,Oregon,"26,635",44.572021,-122.070938
42000,PA,Pennsylvania,"9,484",40.590752,-77.209755
44000,RI,Rhode Island,132,41.680893,-71.51178
45000,SC,South Carolina,"47,134",33.856892,-80.945007
46000,SD,South Dakota,"10,481",44.299782,-99.438828
47000,TN,Tennessee,"40,515",35.747845,-86.692345
48000,TX,Texas,"401,870",31.054487,-97.563461
49000,UT,Utah,"46,881",40.150032,-111.862434
50000,VT,Vermont,696,44.045876,-72.710686
51000,VA,Virginia,"70,644",37.769337,-78.169968
53000,WA,Washington,"72,780",47.400902,-121.490494
54000,WV,West Virginia,"-3,329",38.491226,-80.954453
55000,WI,Wisconsin,"16,677",44.268543,-89.616508
56000,WY,Wyoming,"5,919",42.755966,-107.30249
